ISIN_7_PREFIX,Company,All Companies Seen
INE001A,HDFC GROUP,HDFC GROUP
INE001R,STARLITE LIGHTING LIMITED,STARLITE LIGHTING LIMITED
INE001W,YARROW INFRASTRUCTURE PRIVATE LIMITED,YARROW INFRASTRUCTURE PRIVATE LIMITED
INE002A,RELIANCE GROUP,RELIANCE GROUP
INE002L,SJVN LIMITED,SJVN LIMITED
INE003L,EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED,EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED
INE003S,RENEW POWER LIMITED,RENEW POWER LIMITED
INE005A,ICICI GROUP,ICICI GROUP
INE006A,RELIANCE GROUP,RELIANCE GROUP
INE007N,FEDBANK FINANCIAL SERVICES LIMITED,FEDBANK FINANCIAL SERVICES LIMITED
INE008A,IDBI BANK LIMITED,IDBI BANK LIMITED
INE008I,COX AND KINGS LIMITED,COX AND KINGS LIMITED
INE00BL,EARC TRUST - SC 322,EARC TRUST - SC 322
INE00DJ,TAPIR CONSTRUCTIONS LIMITED,TAPIR CONSTRUCTIONS LIMITED
INE00FQ,ADVANCE INDIA PROJECTS LIMITED,ADVANCE INDIA PROJECTS LIMITED
INE00JA,RAINBOW DEVICES TRUST,RAINBOW DEVICES TRUST
INE00MJ,JMFARC - METALLICS FEBRUARY 2018 - TRUST,JMFARC - METALLICS FEBRUARY 2018 - TRUST
INE00MX,SVATANTRA MICROFIN PRIVATE LIMITED,SVATANTRA MICROFIN PRIVATE LIMITED
INE00QB,JMFARC - ALPHAHEALTH 2018 - TRUST,JMFARC - ALPHAHEALTH 2018 - TRUST
INE00QS,INDORE MUNICIPAL CORPORATION,INDORE MUNICIPAL CORPORATION
INE00RT,EARC TRUST - SC 309,EARC TRUST - SC 309
INE00S4,FOURTH PARTNER ENERGY PRIVATE LIMITED,FOURTH PARTNER ENERGY PRIVATE LIMITED
INE00SD,RMZ BUILDCON PRIVATE LIMITED,RMZ BUILDCON PRIVATE LIMITED
INE00V2,JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED,JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED
INE00XL,B.N. AGRITECH LIMITED,B.N. AGRITECH LIMITED
INE010A,PRISM CEMENT LIMITED,PRISM CEMENT LIMITED
INE010E,MAHARASHTRA JEEVAN PRADHIKARAN,MAHARASHTRA JEEVAN PRADHIKARAN
INE011A,NAYARA ENERGY LIMITED,NAYARA ENERGY LIMITED
INE011S,ALBRECHT BUILDER PRIVATE LIMITED,ALBRECHT BUILDER PRIVATE LIMITED | TRIL IT4 PRIVATE LIMITED
INE012A,ACC LIMITED,ACC LIMITED
INE012G,HERO MOTORS,HERO MOTORS | HERO MOTORS LIMITED
INE012I,JM FINANCIAL SERVICES PVT. LIMITED,JM FINANCIAL SERVICES PVT. LIMITED
INE013A,RELIANCE GROUP,RELIANCE GROUP
INE014N,NATIONAL COOPERATIVE DEVELOPMENT CORPORATION,NATIONAL COOPERATIVE DEVELOPMENT CORPORATION
INE015A,RANBAXY LABORATORIES LIMITED,RANBAXY LABORATORIES LIMITED
INE015D,MANAKSIA LIMITED,MANAKSIA LIMITED
INE015L,EDELWEISS ASSET RECONSTRUCTION CO. LTD,EDELWEISS ASSET RECONSTRUCTION CO. LTD
INE015Q,GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED,GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED
INE0165,EARC TRUST - SC 337,EARC TRUST - SC 337
INE0166,EARC TRUST - SC 333,EARC TRUST - SC 333
INE0167,CONCRETE LIFESTYLES & INFRASTRUCTURE PRIVATE LIMITED,CONCRETE LIFESTYLES & INFRASTRUCTURE PRIVATE LIMITED
INE016P,VISTAAR FINANCIAL SERVICES PRIVATE LIMITED,VISTAAR FINANCIAL SERVICES PRIVATE LIMITED
INE017A,THE GREAT EASTERN SHIPPING COMPANY LIMITED,THE GREAT EASTERN SHIPPING COMPANY LIMITED
INE018A,LARSEN AND TOUBRO LIMITED,LARSEN AND TOUBRO LIMITED | ULTRATECH CEMENT LIMITED
INE018E,SBI GROUP,SBI GROUP
INE018P,UJJAWALA POWER PRIVATE LIMITED,UJJAWALA POWER PRIVATE LIMITED
INE019A,JSW STEEL LIMITED,JSW STEEL LIMITED
INE019H,ARCIL - CPS -001-IV TRUST,ARCIL - CPS -001-IV TRUST
INE01A1,RENT - A - DEVICE TRUST,RENT - A - DEVICE TRUST
INE01A2,JM FINANCIAL HOME LOANS LIMITED,JM FINANCIAL HOME LOANS LIMITED
